anime_id,title,type,status,episodes,duration_min,total_hours,start_date,end_date,year,decade,season,score,members_scored,rank,age_rating,main_studio,studio_group,genre_count,primary_genre,score_band,popularity_tier,is_scored
55254,Manyan Sinian,Music,Finished Airing,1,3.0,0.05,2021-03-18,,2021,2020s,Spring,,,,G,Slow Studio,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55253,Scar,Movie,Finished Airing,1,4.0,0.07,2017-01-01,,2017,2010s,Winter,,,15684,PG-13,Slow Studio,Others,1,Avant Garde,Not Rated,Not Rated,Not Rated
55252,Slapstick,Music,Finished Airing,1,3.0,0.05,2023-05-04,,2023,2020s,Spring,,,,PG-13,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55143,Hidari,Movie,Not yet aired,1,40.0,0.67,,,,,,,,,PG-13,dwarf,Others,1,Action,Not Rated,Not Rated,Not Rated
55234,Pukapuka,Music,Finished Airing,1,2.0,0.03,2022-12-01,,2022,2020s,Winter,,,,G,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
54529,Jianzhen da Heshang,Movie,Finished Airing,1,100.0,1.67,2010-05-07,,2010,2010s,Spring,,,16804,PG,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
54456,Sansara Naga 2 PV,PV,Finished Airing,1,3.0,0.05,1994-01-01,,1994,1990s,Winter,,,,G,Unknown,Others,1,Fantasy,Not Rated,Not Rated,Not Rated
54380,Tamagotchi! McDonald's Happy Set Special DVD with Lovelyn,Special,Finished Airing,3,3.0,0.15,2008-12-12,,2008,2000s,Winter,,,15005,PG,Unknown,Others,2,Fantasy,Not Rated,Not Rated,Not Rated
55241,Ongakushitsu wa Himitsu Kichi,Music,Finished Airing,1,4.0,0.07,2017-02-01,,2017,2010s,Winter,,,,G,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55238,Tekuteku,Music,Finished Airing,1,4.0,0.07,2005-04-15,,2005,2000s,Spring,,,,G,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
